chain,country,pct_chain_n_1,pct_chain_n_2,pct_chain_n_3,a3,b3,L3,a4,b4,L4,a4',b4',L4',prevalence,LD,a,error_a,b,error_b,L,error_L,first_week_date
98 + 118,SE,0.0158987670343932,0.010566762728146,0.0340364333652924,0.7636716056869159,11.8166101771155,14230.0309629972,0.5708974581079189,3.13439191365247,0.310992342418063,-0.19277414757899705,-8.68221826346303,-14229.719970654784,1,18.0,1.52142088685435,0.0717392046515393,6.197526062204171,0.0822456345097958,1.00795654986247,0.00627271666437087,2021-05-16
153,SE,0.0372953305033353,0.0562327959103421,0.13989169675090196,1.1645429084793202,3.57955237220977,0.6644170430403189,1.14790903958558,3.4835436116471405,0.633413638201134,-0.016633868893739967,-0.09600876056263008,-0.031003404839184963,1,33.0,1.99481277916671,0.100363975945012,5.20165343381196,0.112022718859686,0.991984149036891,0.00894886613694403,2021-12-26
219 + 271,SE,0.49498327759197297,0.679374389051808,0.7995049504950491,1.35397263934053,-0.0126505546933871,0.990390316147082,1.2301489423002199,-0.0861926324445232,0.956712145071667,-0.12382369704030992,-0.0735420777511361,-0.03367817107541493,1,5.0,1.4984065650809,0.0951818455536202,0.0259933404700953,0.0813994669622355,1.01819382796086,0.00848203902109386,2022-06-12
285 + 342,SE,0.162538699690402,0.171612903225806,0.214,6.2210069962366905,70.0233846711713,11972.21944049,4.43852513104983,55.98021102059071,42278.9308237456,-1.7824818651868597,-14.043173650580599,30306.7113832556,1,15.0,2.38236113827542,0.36616534366363795,5.993257110721401,1.44801816409256,1.34943025237068,0.7960036025518492,2023-01-29
50,SP,0.125984251968503,0.161137440758293,0.4360613810741679,0.641522290049796,0.989206367697168,0.442005956141777,0.5438867387165689,0.7166254890543291,0.367127285987423,-0.097635551333227,-0.27258087864283903,-0.07487867015435401,1,,3.97254529401243,0.563007619592151,6.440895916056429,0.666926195503315,0.9512579658595219,0.0542706291003374,2020-12-27
117 + 162,SP,0.147345612134344,0.23837209302325502,0.40792774711490204,1.47743557787302,2.86589850474742,1.12478233026854,1.2046713185679199,1.97649072978299,0.817508980235624,-0.27276425930509984,-0.88940777496443,-0.30727335003291606,1,16.0,1.6960565271708998,0.0965365297841596,2.7057911860919703,0.0978748162821815,1.00292443274646,0.0076052225126363405,2021-06-13
173 + 204,SP,0.0413020651032551,0.14467005076142098,0.31059960215970395,0.6566057798042939,1.5106727046817903,0.458368723227299,0.7478963808137641,1.6809345975880199,0.5015596491707299,0.09129060100946997,0.17026189290623006,0.04319092594343105,1,42.0,1.43703763818543,0.26298513808239804,2.7028936391963,0.34553632488060804,0.718934833404247,0.0910853132530451,2021-12-05
198,SP,0.0174501424501424,0.0395563770794824,0.0586510263929618,1.5147786504238798,21.5209934456006,25660.3605871107,1.21844752045604,3.5979896605952,0.320822862071987,-0.29633112996783995,-17.9230037850054,-25660.039764248628,1,27.0,1.77541030914554,0.10316800796135099,6.340922433120809,0.131220002005368,1.01460125608459,0.0196903718576009,2022-01-23
240 + 272 + 297,SP,0.135917566241413,0.282332563510392,0.353550295857988,1.5950657928015899,2.48209709945834,0.8833308474854329,1.72702385320833,2.9546580666435895,1.01952801562751,0.13195806040673985,0.4725609671852502,0.13619716814207694,1,4.0,1.6240678180837398,0.0915588651410083,2.80443713151328,0.0946322096040592,0.984492283758822,0.00625003538542679,2022-05-22
295 + 364 + 407,SP,0.0688360450563204,0.0807692307692307,,5.42854873308885,67.6187784741873,17470.1187124161,2.19304487448066,31.9313962582429,82036.5297175826,-3.2355038586081903,-35.6873822159444,64566.411005166505,1,,2.1217843193387402,0.143598600716024,6.23909293620222,0.152138778284017,0.9383647052024878,0.0073393051658441405,2023-01-08
406,SP,0.0961182994454713,0.179824561403508,0.21186440677965998,2.0584671294113703,27.2568477792485,52856.42648036231,1.38671138387835,2.4679560669144305,0.625884323508155,-0.6717557455330199,-24.78889171233407,-52855.800596038796,1,,1.88305112586537,0.650216381345327,3.0551200166585897,0.6714702656575771,0.7367377264368421,0.0643580015534402,2023-10-29
